日期: 20260427
强势股总数: 241

序号  名称        代码      涨幅      换手      成交        量比      新高    趋势评分
167 诚志股份      000990     3.6%  8.09%   12.26亿   0.9   1    1.50
168 华特气体      688268     2.9% 15.42%   34.54亿   1.2   1    1.49
169 博瑞医药      688166     3.7%  3.29%    8.52亿   0.9   1    1.48
170 安达科技      920809     2.8%  6.20%    2.37亿   1.2   1    1.48
171 兴森科技      002436     2.5% 13.08%   58.37亿   1.4   1    1.48
172 湖南裕能      301358     2.9%  3.84%   25.92亿   1.2   1    1.47
173 元利科技      603217     2.6%  4.20%    2.69亿   1.3   1    1.46
174 汇通能源      600605     3.3%  4.03%    2.75亿   1.0   1    1.45
175 创维数字      000810     3.1%  2.84%    4.06亿   1.1   1    1.45
176 金圆股份      000546     1.1% 22.63%   11.38亿   1.8   1    1.45
177 瑞晟智能      688215    -1.0%  2.18%    1.07亿   1.9   1    1.45
178 兴瑞科技      002937    -2.4%  3.38%    3.26亿   1.3   1    1.44
179 圣阳股份      002580     4.0% 35.19%   44.53亿   1.2   0    1.43
180 平安电工      001359     2.3%  4.70%    1.85亿   1.3   1    1.42
181 正川股份      603976     2.0%  2.23%    0.72亿   1.5   1    1.42
182 共达电声      002655     3.0% 11.37%   10.58亿   1.0   1    1.40
183 昇兴股份      002752     2.2%  9.26%    6.89亿   1.3   1    1.40
184 亨通光电      600487     2.6% 10.20%  179.21亿   1.1   1    1.39
185 斯迪克       300806     2.9%  7.23%   16.45亿   1.0   1    1.38
186 紫光股份      000938     2.8%  7.99%   73.50亿   1.0   1    1.37
187 盛新锂能      002240     2.3%  6.96%   33.24亿   1.2   1    1.37
188 龙蟠科技      603906    -3.2% 13.98%   25.15亿   0.8   1    1.37
189 杰华特       688141     1.5%  5.95%   22.18亿   1.5   1    1.35
190 新宏泰       603016     1.4%  7.52%    6.50亿   1.5   1    1.35
191 山东赫达      002810    -2.4%  5.63%    5.18亿   1.2   1    1.35
192 泰晶科技      603738    -2.2% 22.50%   34.58亿   1.2   1    1.34
193 中自科技      688737     3.4%  2.06%    0.74亿   0.7   1    1.32
194 鼎龙股份      300054    -1.2%  7.64%   32.70亿   1.6   1    1.32
195 昊华能源      601101     1.1%  4.29%    6.07亿   1.6   1    1.31
196 山煤国际      600546     2.5%  1.78%    4.54亿   1.0   1    1.30
197 宁波方正      300998     2.5%  2.46%    0.70亿   0.9   1    1.26
198 大族激光      002008     2.2%  5.35%   53.31亿   1.0   1    1.24
199 莱尔科技      688683     1.8%  1.64%    1.16亿   1.1   1    1.23
200 力诺药包      301188     2.4%  8.88%    6.78亿   0.9   1    1.22
201 德宏股份      603701     2.2%  1.79%    1.20亿   0.9   1    1.21
202 万凯新材      301216     1.3%  2.49%    4.18亿   1.1   1    1.11
203 沐曦股份-U    688802     0.9% 19.30%   25.68亿   1.2   1    1.09
204 美利信       301307     0.6% 13.11%    6.61亿   1.3   1    1.09
205 中伟新材      300919     0.8%  3.13%   17.63亿   1.3   1    1.08
206 银河微电      688689    -0.9%  3.69%    1.89亿   1.2   1    1.07
207 浪潮信息      000977    -2.3%  4.58%   49.46亿   0.6   1    1.07
208 江南新材      603124     1.4%  2.49%    2.55亿   1.0   1    1.06
209 中国巨石      600176     1.3%  3.36%   45.57亿   1.0   1    1.05
210 博杰股份      002975     1.3% 13.64%   17.12亿   1.0   1    1.05
211 山东高速      600350    -0.5%  0.14%    0.73亿   1.3   1    1.05
212 五芳斋       603237    -0.5%  1.25%    0.43亿   1.3   1    1.03
213 洪城环境      600461     0.9%  0.79%    1.05亿   1.1   1    1.02
214 中科电气      300035    -1.1% 10.78%   15.60亿   1.0   1    1.02
215 中国国贸      600007    -0.4%  0.28%    0.61亿   1.3   1    1.01
216 春风动力      603129    -1.2%  0.78%    3.32亿   0.9   1    1.00
217 天原股份      002386    -0.6%  5.09%    4.52亿   1.1   1    0.98
218 金富科技      003018    -3.1%  6.04%    7.98亿   0.7   0    0.97
219 华勤技术      603296     0.5%  3.34%   20.66亿   1.1   1    0.95
220 杰瑞股份      002353    -1.3%  2.08%   18.59亿   0.8   1    0.95
221 中新集团      601512    -2.1%  2.14%    3.25亿   1.1   0    0.95
222 安井食品      603345     0.7%  1.44%    4.23亿   1.0   1    0.94
223 金利华电      300069     0.7% 10.43%    3.17亿   1.0   1    0.93
224 中电港       001287     0.0%  4.43%    9.36亿   1.3   1    0.93
225 东望时代      600052     1.2%  9.29%    3.38亿   1.4   0    0.92
226 有研新材      600206     0.3% 13.09%   29.90亿   1.1   1    0.92
227 品高股份      688227     1.6%  8.50%   11.63亿   0.6   1    0.90
228 鸿日达       301285    -0.5%  1.74%    3.83亿   1.0   1    0.89
229 鸿富瀚       301086     0.9%  4.52%    4.02亿   0.8   1    0.88
230 嘉戎技术      301148     0.9%  6.39%    2.63亿   0.8   1    0.87
231 万润新能      688275     0.7%  2.98%    5.41亿   0.8   1    0.86
232 腾远钴业      301219    -0.6%  7.36%   13.21亿   0.9   1    0.85
233 冠农股份      600251    -0.7%  2.27%    2.14亿   0.8   1    0.84
234 中衡设计      603017    -2.0% 10.30%    4.21亿   0.9   0    0.83
235 天齐锂业      002466    -0.1%  6.82%   74.59亿   1.0   1    0.82
236 成都银行      601838     0.4%  0.58%    4.55亿   0.9   1    0.80
237 江苏银行      600919    -0.4%  0.36%    7.44亿   0.8   1    0.77
238 潍柴动力      000338     0.2%  2.07%   31.08亿   0.8   1    0.76
239 杭州柯林      688611     0.2%  0.88%    0.89亿   0.7   1    0.72
240 江苏北人      688218     0.3%  5.71%    2.03亿   0.7   1    0.69
241 杭电股份      603618    -0.7% 14.39%   29.62亿   1.0   0    0.64
